                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.36743,                0.31278,                0.30079,                0.92426,                0.97582,                    0.9,                0.98599,                0.94226,                0.97582,                    0.9,                0.98599,                 0.9708,                0.27634,                0.15517,                0.43834,                0.86739,              0.0006536,              0.0006536,              0.0006536
                     36,                0.36935,                0.36053,                0.30183,                0.91959,                0.99569,                      1,                  0.995,                0.96895,                0.99569,                      1,                  0.995,                  0.995,                0.28439,                  0.141,                0.41065,                0.86882,               0.000614,               0.000614,               0.000614
                     37,                0.33567,                0.31118,                 0.2695,                0.91352,                0.99459,                0.93333,                0.94613,                0.90786,                0.99459,                0.93333,                0.94613,                 0.9353,                0.32064,                0.14647,                0.66388,                0.92434,              0.0005744,              0.0005744,              0.0005744
                     38,                0.34179,                0.30563,                0.26762,                0.91867,                 0.9949,                0.93333,                0.97675,                0.95207,                 0.9949,                0.93333,                0.97675,                0.97313,                0.25643,                0.12756,                0.53131,                0.85656,              0.0005348,              0.0005348,              0.0005348
                     39,                0.32312,                0.28372,                 0.2491,                 0.9128,                0.99419,                      1,                  0.995,                  0.995,                0.99419,                      1,                  0.995,                  0.995,                0.21136,                 0.1265,                0.32467,                0.81519,              0.0004952,              0.0004952,              0.0004952
                     40,                0.33248,                 0.3209,                0.27541,                0.91078,                0.98964,                      1,                  0.995,                0.98768,                0.98964,                      1,                  0.995,                0.99204,                0.22846,                 0.1299,                  0.393,                 0.8253,              0.0004556,              0.0004556,              0.0004556
                     41,                0.30516,                0.35481,                0.44823,                0.91774,                0.98983,                      1,                  0.995,                0.94199,                0.98983,                      1,                  0.995,                0.98096,                0.32964,                0.15628,                 0.3645,                0.94793,               0.000416,               0.000416,               0.000416
                     42,                0.28704,                0.24788,                0.36923,                0.92375,                0.99712,                      1,                  0.995,                 0.9812,                0.99712,                      1,                  0.995,                0.99181,                0.24464,                0.13914,                0.26926,                0.82067,              0.0003764,              0.0003764,              0.0003764
                     43,                0.25533,                0.22425,                0.28461,                0.93194,                0.99783,                      1,                  0.995,                0.98691,                0.99783,                      1,                  0.995,                0.99184,                0.20561,                0.12418,                0.24488,                0.79093,              0.0003368,              0.0003368,              0.0003368
                     44,                 0.3036,                0.34493,                0.36575,                0.89806,                0.99622,                      1,                  0.995,                0.98839,                0.99622,                      1,                  0.995,                0.99183,                0.24581,                0.12767,                0.26519,                 0.8257,              0.0002972,              0.0002972,              0.0002972
                     45,                0.32435,                0.25185,                0.34106,                0.94441,                0.99778,                      1,                  0.995,                0.99197,                0.99778,                      1,                  0.995,                0.99197,                0.22098,                0.14024,                0.24507,                0.79779,              0.0002576,              0.0002576,              0.0002576
                     46,                0.29134,                0.27093,                0.31618,                0.89717,                0.99776,                      1,                  0.995,                0.99185,                0.99776,                      1,                  0.995,                  0.995,                0.22912,                0.14886,                0.22625,                0.80799,               0.000218,               0.000218,               0.000218
                     47,                 0.2692,                0.25661,                0.28255,                0.89431,                0.99756,                      1,                  0.995,                0.99188,                0.99756,                      1,                  0.995,                0.99188,                0.18902,                0.13709,                0.20027,                0.78088,              0.0001784,              0.0001784,              0.0001784
                     48,                0.23891,                0.26356,                0.27875,                0.85116,                0.99802,                      1,                  0.995,                  0.995,                0.99802,                      1,                  0.995,                  0.995,                 0.1915,                0.13206,                0.20148,                0.78727,              0.0001388,              0.0001388,              0.0001388
                     49,                0.28213,                0.30778,                0.33037,                0.87481,                  0.998,                      1,                  0.995,                0.98659,                  0.998,                      1,                  0.995,                0.99186,                0.18495,                0.13362,                0.19518,                0.77494,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.23867,                0.25239,                0.27508,                 0.9102,                0.99819,                      1,                  0.995,                0.99209,                0.99819,                      1,                  0.995,                0.98763,                0.18686,                0.13394,                0.21075,                0.77496,               5.96e-05,               5.96e-05,               5.96e-05
